BACKSPACE_COUNT,CAC,CAR,CAT_R,CCC,CONDITION,CORRECTED_ERROR_RATE,CPS,ERROR_RATE,ID,INPUT_TIME,IS_LENGTH,KEYSTROKES_PER_CHARACTER,LEVENSHTEIN_DELETION,LEVENSHTEIN_INSERTION,LEVENSHTEIN_SUBSTITUTION,MINIMUM_STRING_DISTANCE,PHRASE_NUMBER,PT,PT_LENGTH,SESSION,TOTAL_ERROR_RATE,TOTAL_PHRASES,TT,TT_LENGTH,T_CAT,VST,WPM
0,0,0,0,0,enhanced,0,1.6245753950671984,0,CvVpNNUBLBqIrZyG7RAE,20.313,34,1,0,0,0,0,9,the fire raged for an entire month,34,ZWH1by2chTTjxC5xBonl,0,12,the fire raged for an entire month,34,0,1828,19.49490474080638
0,0,0,0,0,enhanced,0,2.463863337713535,0,CvVpNNUBLBqIrZyG7RAE,12.176,31,1,0,0,0,0,11,never mix religion and politics,31,ZWH1by2chTTjxC5xBonl,0,12,never mix religion and politics,31,0,800,29.566360052562416
0,0,0,0,0,enhanced,0,1.6114854966305303,0,CvVpNNUBLBqIrZyG7RAE,13.652,23,1,0,0,0,0,10,my favorite web browser,23,ZWH1by2chTTjxC5xBonl,0,12,my favorite web browser,23,0,239,19.337825959566363
0,0,0,0,0,enhanced,0,2.533103051237766,0,CvVpNNUBLBqIrZyG7RAE,8.685,23,1,0,0,0,0,3,you must be getting old,23,ZWH1by2chTTjxC5xBonl,0,12,you must be getting old,23,0,326,30.397236614853192
1,1,2.857142857142857,5.720644063359078,0,off,2.941176470588235,4.189029977745778,0,Rsrmxamg4vNOaLqz7sH4,7.639,35,1.0606060606060606,0,0,0,0,10,raindrops keep falling on my head,33,og7wp8U4vBYG9qzI5h8C,2.941176470588235,12,raindrops keep falling on my head,33,0.437,223,50.268359732949335
1,1,3.571428571428571,44.07320706533305,0,off,4,2.4473292189827625,0,Rsrmxamg4vNOaLqz7sH4,9.398,28,1.1666666666666667,0,0,0,0,5,my fingers are very cold,24,og7wp8U4vBYG9qzI5h8C,4,12,my fingers are very cold,24,4.142,733,29.36795062779315
0,0,0,0,0,off,0,5.39568345323741,0,Rsrmxamg4vNOaLqz7sH4,3.892,22,1,0,0,0,0,8,love means many things,22,og7wp8U4vBYG9qzI5h8C,0,12,love means many things,22,0,317,64.74820143884892
1,1,3.4482758620689653,7.685589519650655,0,off,3.571428571428571,4.541484716157205,0,Rsrmxamg4vNOaLqz7sH4,5.725,29,1.0740740740740742,0,0,0,0,7,sit at the front of the bus,27,og7wp8U4vBYG9qzI5h8C,3.571428571428571,12,sit at the front of the bus,27,0.44,178,54.49781659388646
0,0,0,0,0,off,0,4.745166959578207,0,Rsrmxamg4vNOaLqz7sH4,5.69,28,1,0,0,0,0,4,machinery is too complicated,28,og7wp8U4vBYG9qzI5h8C,0,12,machinery is too complicated,28,0,572,56.94200351493849
3,3,7.317073170731707,7.656498836212176,0,off,7.894736842105263,4.165135366899424,0,Rsrmxamg4vNOaLqz7sH4,8.163,41,1.1714285714285715,0,0,0,0,11,what a monkey sees a monkey will do,35,og7wp8U4vBYG9qzI5h8C,7.894736842105263,12,what a monkey sees a monkey will do,35,0.625,233,49.98162440279309
